City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,hohhot,40.8106,111.6522,-12.84,66,0,2.0,CN,1675042215
240,vysokogornyy,50.1167,139.15,-22.28,88,85,2.29,RU,1675042215
241,keetmanshoop,-26.5833,18.1333,21.81,35,0,3.91,NA,1675042218
242,mayumba,-3.432,10.6554,25.23,86,100,1.48,GA,1675042219
243,zaysan,47.4667,84.8667,-18.69,80,5,1.3,KZ,1675042220
244,saiha,22.4833,92.9667,19.21,51,1,1.06,IN,1675042223
245,talakan,50.3167,130.3667,-24.82,92,79,1.43,RU,1675042224
246,nokaneng,-19.6667,22.2667,20.12,77,62,1.35,BW,1675042225
247,znamenskoye,57.1281,73.8282,-16.1,97,45,2.34,RU,1675042227
248,marsa matruh,31.3525,27.2453,13.96,61,0,4.84,EG,1675042228
249,dzilam gonzalez,21.2833,-88.9333,24.24,76,56,3.16,MX,1675042229
250,ndola,-12.9587,28.6366,15.76,96,99,0.73,ZM,1675042229
251,beira,-19.8436,34.8389,25.4,87,29,4.21,MZ,1675042230
252,ubinskoye,55.3068,79.6802,-14.89,94,87,5.32,RU,1675042231
253,esperance,-33.8667,121.9,22.98,46,5,2.13,AU,1675042076
254,moa,20.6569,-74.9403,23.64,76,36,6.39,CU,1675042232
255,nelson bay,-32.7167,152.15,23.38,97,100,1.79,AU,1675042232
256,prince george,53.9166,-122.753,-14.1,67,0,1.03,CA,1675042233
257,elko,41.0002,-115.5012,-8.99,89,21,3.69,US,1675042234
258,burgersdorp,-30.9977,26.3286,10.11,75,0,1.55,ZA,1675042234
259,ulverstone,-41.15,146.1667,21.79,64,100,1.69,AU,1675042235
260,lipari,38.4674,14.954,10.71,59,9,3.81,IT,1675042236
261,buchanan,5.8808,-10.0467,25.25,90,78,1.83,LR,1675042017
262,kota bahru,6.1333,102.2386,26.13,88,40,2.57,MY,1675042237
263,balgazyn,51.0,95.2,-16.87,88,100,0.56,RU,1675042238
264,aripuana,-9.1667,-60.6333,21.06,99,100,0.25,BR,1675042239
265,atar,20.5169,-13.0499,14.76,43,89,3.83,MR,1675042240
266,lebu,-37.6167,-73.65,16.06,93,41,6.96,CL,1675042019
267,mangan,27.5167,88.5333,18.27,32,3,1.77,IN,1675042240
268,nagua,19.3832,-69.8474,22.33,86,28,3.36,DO,1675042210
269,tuktoyaktuk,69.4541,-133.0374,-28.0,76,40,2.06,CA,1675042241
270,gubskaya,44.3164,40.6358,3.43,95,100,1.07,RU,1675042242
271,alofi,-19.0595,-169.9187,27.94,78,88,3.09,NU,1675042242
272,bloomingdale,27.8936,-82.2404,23.45,74,0,2.06,US,1675042137
273,mackay,-21.15,149.2,32.05,67,68,2.82,AU,1675042243
274,kijang,35.2442,129.2139,2.85,27,0,5.8,KR,1675042244
275,aklavik,68.2191,-135.0107,-18.49,98,100,0.2,CA,1675042245
276,pyapon,16.2833,95.6833,26.19,53,4,3.46,MM,1675042245
277,olafsvik,64.8945,-23.7142,-2.03,73,43,1.97,IS,1675042246
